U+D50A \frakG
U+2682 \diceiii
U+02E9 \tonebarextralow
U+230F \ulcrop
U+25E1 \botsemicircle
U+230D \dlcrop
U+D79D \bfitsansXi
U+02C9 \textmacron
U+D427 \bfn
U+D6AA \bfGamma
U+210F \hslash
U+D4F1 \bfscrh
U+D728 \bfitNu
U+D68B \ttb
U+2AC0 \supsetplus
U+2662 \diamondsuit
U+2138 \daleth
U+028E \textturny
U+D565 \Bbbt
U+D61C \itsansU
U+2AEC \Not
U+D522 \frake
U+2141 \Game
U+D52A \frakm
U+D696 \ttm
U+29AD \measangleultonw
U+D7A0 \bfitsansRho
U+007B \lbrace
U+D706 \itlambda
U+2240 \wr
U+2245 \cong
U+D77C \bfsansnu
U+2AF1 \topcir
U+212F \scre
U+29CD \triangleserifs
U+D7E1 \Bbbnine
U+2AF9 \leqqslant
U+D6EC \itLambda
U+221F \rightangle
U+D58D \bffrakh
U+D7CE \bfzero
U+20D7 \wideoverrightarrow
U+2A72 \pluseqq
U+2315 \recorder
U+2060 \wordjoin
U+292A \towa
U+29D1 \lfbowtie
U+25D7 \blackrighthalfcircle
U+2050 \closure
U+03DF \upkoppa
U+2020 \dagger
U+21FC \nVleftrightarrow
U+2200 \forall
U+D695 \ttl
U+27D4 \pushout
U+D729 \bfitXi
U+2002 \enspace
U+2948 \leftrightarrowcircle
U+0317 \textsubacute
U+25F4 \circleulquad
U+25EF \lgwhtcircle
U+25B4 \blacktriangle
U+D7B4 \bfitsanslambda
U+29CB \triangleubar
U+2AEB \Vbar
U+00A9 \textcopyright
U+2297 \otimes
U+224B \approxident
U+295B \barrightharpoonup
U+D606 \bfsansy
U+D593 \bffrakn
U+210E \Planckconst
U+21A3 \rightarrowtail
U+2A4D \closedvarcap
U+2ACC \supsetneqq
U+D471 \bfitJ
U+29BA \obot
U+D7B1 \bfitsanstheta
U+21D4 \Leftrightarrow
U+2998 \rblkbrbrak
U+D7DA \Bbbtwo
U+2AE6 \varVdash
U+20ED \overleftharpoondown
U+019B \textcrlambda
U+1D8A \textlhooks
U+226B \gg
U+27E7 \rBrack
U+25F1 \squarellquad
U+21B0 \Lsh
U+2263 \Equiv
U+D4DF \bfscrP
U+D5B8 \sansY
U+D65E \bfitsansi
U+229D \circleddash
U+263C \sun
U+D453 \itf
U+02C6 \textfall
U+032E \textsubbreve
U+20DC \ddddot
U+27D1 \wedgedot
U+D676 \ttG
U+D509 \frakF
U+D408 \bfI
U+2260 \textdoublebarslash
U+D74C \bfitchi
U+2159 \fraconesixth
U+0188 \texthtc
U+0304 \bar
U+03BE \upxi
U+2969 \rightleftharpoonsdown
U+22AB \VDash
U+210A \scrg
U+D411 \bfR
U+29FA \doubleplus
U+D785 \bfsansphi
U+D7F4 \bfsanseight
U+2466 \circledseven
U+D6B8 \bfRho
U+231F \lrcorner
U+0278 \textphi
U+D418 \bfY
U+D5A1 \sansB
U+D417 \bfX
U+D450 \itc
U+232C \varhexagonlrbonds
U+D440 \itM
U+2639 \frownie
U+D6CC \bflambda
U+293E \cwundercurvearrow
U+D659 \bfitsansd
U+23DF \underbrace
U+D53A \BbbC
U+00F0 \dh
U+2A51 \wedgeodot
U+D42E \bfu
U+2994 \rparengtr
U+D46D \bfitF
U+D5E9 \bfsansV
U+D784 \bfsansupsilon
U+225F \questeq
U+2974 \rightarrowsimilar
U+20EA \textoverlayleftarrow
U+003C \less
U+2144 \Yup
U+0321 \textpalhook
U+0026 \&
U+0275 \textbaro
U+00AC \neg
U+2950 \leftrightharpoondowndown
U+2133 \scrM
U+278C \blackcircledsansthree
U+D788 \bfsansomega
U+D4AD \scrR
U+030A \ocirc
U+0346 \textoverbridge
U+D5B2 \sansS
U+2017 \twolowline
U+D742 \bfitnu
U+00BE \textthreequarters
U+2524 \bdbvlh
U+026E \textlyoghlig
U+25D5 \blackcircleulquadwhite
U+266B \twonotes
U+028B \textscriptv
U+2960 \upharpoonleftbar
U+23B5 \underbracket
U+21FF \leftrightarrowtriangle
U+D7C2 \bfitsansomega
U+2664 \varspadesuit
U+0397 \upEta
U+25A6 \squarehvfill
U+D701 \itzeta
U+2992 \rangledot
U+D419 \bfZ
U+2913 \downarrowbar
U+D4F2 \bfscri
U+D61B \itsansT
U+2078 \supeight
U+D472 \bfitK
U+00C5 \AA
U+D7E7 \sansfive
U+D412 \bfS
U+1D1C \textscu
U+2248 \thickapprox
U+D66B \bfitsansv
U+D79E \bfitsansOmicron
U+027B \textturnrrtail
U+030D \textvbaraccent
U+D709 \itxi
U+23B0 \lmoustache
U+D42B \bfr
U+D434 \itA
U+D6E7 \itZeta
U+20E7 \annuity
U+D762 \bfsansNu
U+D5EB \bfsansX
U+2A5B \veemidvert
U+03B6 \upzeta
U+025A \textrhookschwa
